pt_visA,phi_visA,eta_visA,pt_visB,phi_visB,eta_visB,pt_MET,phi_MET,mT2,mll
29.9564,1.18677,0.316711,31.0646,-0.46814,-1.63452,72.8892,-0.903931,18.6065,82.6889
31.9417,0.289001,2.32861,34.1641,-2.71338,1.07153,36.2355,1.67627,12.697,79.4215
26.3309,1.86157,0.70105,39.875,1.48926,0.468323,65.1795,-1.32007,63.6661,14.1772
24.2007,1.11499,-1.10327,39.2775,-1.28784,-1.97827,59.4589,-0.277527,0.213455,63.8903
26.1591,2.40234,0.988037,38.6494,-1.41235,-0.562134,59.0585,1.43457,27.0251,80.993
48.9762,0.514404,-0.600098,37.3121,-2.77441,-1.24951,52.218,-1.2124,18.0468,89.8233
39.4424,1.40845,0.421509,40.0991,-1.25293,-0.277954,36.2472,-2.83594,25.8565,82.3074
30.0537,-0.311462,1.24683,44.4303,2.15869,-0.645386,36.7942,2.39648,8.39544,105.596
31.8604,-0.254761,0.296448,57.5298,-1.73218,-0.775635,80.0918,-2.76318,49.3927,75.1025
29.0363,-2.56006,0.99939,29.3367,-2.10596,0.230103,51.791,1.80078,47.3652,26.4977
20.4824,-0.974121,1.97656,40.9066,1.04736,2.21143,37.5103,-3.12598,33.3488,49.5185
75.5094,0.988281,1.73169,51.6032,-1.42041,-0.359741,80.5246,-1.77075,20.4323,194.477
24.6836,0.730957,-1.41577,31.2788,-2.34814,0.456604,48.5969,1.53076,7.65346,81.7387
41.5767,2.18799,0.631226,44.3528,-0.580811,1.47314,53.1528,1.06738,0.223904,92.2444
46.8589,-1.16504,1.58911,26.9281,0.971924,-1.23096,45.1612,-1.9187,24.9234,150.332
20.5906,1.89868,0.682251,42.5339,1.92114,0.479919,77.2649,-1.97778,61.023,6.03472
21.6059,-0.628662,1.80933,36.4559,2.57666,0.446838,49.194,-1.81934,0.613264,69.6441
35.7351,-0.248718,-1.83008,57.6655,-1.646,0.32843,52.4689,-3.0498,50.1029,131.789
34.6128,0.678711,-0.576416,37.0195,-1.99292,0.649902,57.5229,-3.05957,26.8079,83.8359
36.4465,-1.98047,1.81592,50.2325,2.62598,-1.4043,58.5616,2.95068,0.154682,215.155
25.9447,-3.08203,0.449646,28.6468,-1.22754,1.76001,100.997,-0.349182,36.898,58.0697
22.0372,-2.56934,-1.08569,28.5315,1.2146,2.05664,41.1928,-1.38501,22.2286,124.879
24.7011,-2.771,-2.28125,26.2613,1.1272,-0.904785,57.4883,-2.0127,21.5172,60.6344
35.1358,-2.82666,-0.511353,48.3452,0.445129,-0.868042,39.4616,-0.0359955,9.29799,83.5718
30.9909,-0.853149,1.48022,31.5367,2.34814,-0.209015,43.8146,-1.0354,0.27007,86.165
28.014,-0.62854,-1.22949,31.8079,2.61523,-1.91992,43.4226,-0.915405,0.272718,63.2209
30.8809,-1.9248,-1.00171,48.5811,1.22241,-0.870361,49.4064,1.07471,1.36608,77.6324
32.617,-1.74243,0.565186,60.2194,-1.63257,-0.529053,54.8987,-2.06934,11.9742,51.1834
32.181,2.83838,-0.334229,37.8147,-1.0625,-1.42358,65.1222,0.0598679,34.5852,76.1041
33.6514,-1.47485,-0.653564,58.4513,-2.45361,0.0610733,52.3775,1.69434,61.3233,52.7885
41.4381,-0.950562,0.810547,50.9473,-0.95166,0.835571,64.6932,0.107513,38.8275,1.15094
32.1198,-0.399414,1.70093,42.5709,-3.00342,0.667358,38.7341,2.5791,18.7344,81.7264
22.4525,1.24048,-0.771606,27.9248,-2.11475,1.52832,104.39,-0.0820312,22.8104,86.8418
23.1687,1.62915,1.06323,26.4438,-2.23291,2.02637,90.6814,0.30249,36.1904,52.534
34.4568,-1.01001,-1.79932,47.9254,-2.92432,-1.01562,36.9964,-1.85767,0.149307,74.0422
37.8663,-2.76514,0.789307,38.366,0.740723,-0.0253792,49.7975,-1.99902,19.6387,81.4814
20.3836,0.297913,-0.925781,25.868,3.09033,-0.825928,43.296,0.454346,0.210979,45.2853
21.5641,-2.52881,-1.60791,37.3402,1.38379,-0.595947,89.2664,2.95557,0.27794,60.5212
31.952,0.672485,0.215942,35.1726,-1.44409,0.674561,56.3602,0.324402,0.183611,60.4562
20.4027,2.09473,-0.362976,37.9522,-0.909912,0.620117,51.9758,-0.47113,0.313219,62.3974
30.1014,-0.8396,-2.37598,31.9707,-2.25586,-1.30176,59.3581,0.764648,46.3178,53.3851
34.3237,1.81396,0.220612,41.9463,-1.12231,1.60669,74.5151,1.90845,4.31708,94.5347
23.2718,-1.9646,1.82031,30.5513,1.18994,-0.530273,42.8623,-1.8645,1.22763,94.5995
33.7933,-0.109863,-0.803833,36.6293,2.20947,-0.736938,42.3147,0.877197,0.172251,64.5448
42.6011,0.438904,-0.0668335,42.9003,-2.25879,1.08521,60.7138,0.73999,12.7461,98.2962
27.7197,3.10156,-2.29834,37.4214,-0.233673,-1.74292,38.1435,1.27466,15.2823,66.6242
33.7955,0.68457,-0.171417,41.5884,0.16394,-1.64771,57.9387,-2.8877,64.3028,63.5137
27.2884,1.39185,-1.10962,47.5174,-1.09082,-0.0222549,63.5572,2.51367,31.8777,79.5868
23.4148,-0.182892,-1.93457,26.8615,3.04736,0.625366,138.297,-0.34967,0.441096,97.1452
26.4641,-0.765869,1.01758,39.1888,2.33789,0.0838165,128.582,-0.839844,2.93198,71.5458
30.5829,0.692505,-0.912354,54.8051,0.703979,-0.911743,48.1285,2.3833,45.9114,0.470434
26.6051,-2.87207,0.119354,41.7606,-2.95117,0.323242,47.2605,-3.12012,5.60722,7.30034
64.3475,0.522705,-0.993652,28.8924,-1.98462,0.674438,39.1214,-0.980103,0.191147,114.905
21.0884,2.396,-0.678345,28.2052,-0.696533,-1.92212,49.3501,-0.920654,3.44864,58.5049
41.0179,2.52148,1.26587,44.6301,0.0680847,-1.95361,96.1454,-0.731445,36.8389,220.669
36.3854,1.51514,-0.551147,54.2757,1.30322,-0.453857,64.2866,-2.00391,73.8373,10.3471
31.2769,-0.743774,1.49487,37.6268,-0.792236,1.51318,58.0041,-1.49512,22.4027,1.77706
29.6736,0.483826,2.36084,54.2335,-0.713135,-1.50464,37.2906,2.99219,48.7172,275.071
30.1041,0.918945,-0.510376,35.7081,-1.70679,0.285522,85.2339,0.872314,0.212772,68.8311
28.8741,2.30664,1.27295,78.8259,2.20215,1.21118,44.0117,1.0332,35.4748,5.7892
24.1112,-1.15405,0.570557,42.1068,2.26465,0.120407,65.5269,-2.73047,0.341795,64.7514
27.8817,2.4082,0.485229,28.1706,0.353943,-0.309998,71.8614,-1.7312,45.6385,53.1465
26.985,1.31689,0.224731,32.2291,-2.24609,0.767822,38.5992,-1.073,19.8602,59.9127
35.9218,0.129974,-0.387756,63.6567,-1.9458,0.376099,37.8155,2.72314,40.7453,90.4777
21.9623,1.96606,-1.44751,30.9136,-2.26758,0.994507,38.827,1.58447,10.2676,92.1399
27.1872,-0.62439,-1.19751,34.8165,-2.35889,-0.602173,40.5259,1.13232,37.6315,50.4694
43.9611,-1.21411,-0.110016,52.0167,-0.175171,1.23242,55.2262,-1.91528,29.8938,83.859
28.5581,-0.650757,1.9082,32.6892,2.32861,-0.286926,44.5305,-3.01709,12.925,101.641
23.8557,3.06641,-0.0480576,124.446,-0.152222,0.418335,74.742,-1.14868,0.619539,111.87
24.6016,1.41309,-1.62451,25.6181,-2.56689,-2.06689,52.1831,-0.791382,32.3235,47.2091
22.4699,0.753784,1.16284,28.6799,-1.5271,-0.529419,60.5994,2.07861,31.7119,66.7777
40.6905,-1.77368,1.12842,43.3386,2.01855,0.565308,146.935,1.22729,44.0522,83.1109
24.1223,-0.607544,0.433044,30.7438,2.82764,0.448059,87.7501,0.0705566,18.7914,53.8808
42.1876,-1.10767,0.019207,53.54,2.38428,0.563232,147.739,-1.84424,0.33411,97.1886
26.8947,0.249878,-1.78589,36.054,-2.20947,-1.5542,67.1438,2.65088,35.3848,59.1341
28.9506,2.63281,-1.40112,33.7615,0.209351,-0.195404,96.1561,0.71106,0.23756,70.9121
23.1447,1.5249,0.163025,30.3754,-1.75293,1.96362,83.9092,1.26099,7.68517,75.9262
20.5752,-2.28174,-0.770752,38.294,-0.682739,-1.16138,35.6916,0.168823,23.1772,41.7374
20.4752,-2.32129,-0.787842,55.3153,-2.52295,0.545532,48.0297,-0.196564,47.3595,48.7453
57.3013,1.86938,-1.61108,67.6296,-0.0410614,-1.53345,73.1048,2.89014,51.2229,101.765
24.5941,1.6123,-0.906006,44.9953,-1.33887,1.03784,51.3325,2.18311,11.9418,100.31
26.3031,-1.94995,1.85107,42.7383,0.826538,2.2002,44.4799,2.30273,22.7267,66.9837
39.2051,-1.62842,0.653442,45.4839,2.24072,0.211426,40.1923,1.20361,28.2375,81.1414
38.4817,2.87842,-0.00688648,51.6435,2.87012,-0.0290184,81.6662,0.228455,82.2834,1.05376
38.8446,-1.97412,-1.54785,46.0969,2.09082,-0.0569534,47.4077,0.802246,37.1923,102.545
20.9969,-2.46094,1.12842,31.3437,0.865356,-0.619629,44.7129,1.83179,0.341177,72.0296
39.4493,-0.0175552,-1.43115,77.3237,1.7644,-1.60645,76.6346,-0.155212,7.43186,86.4488
24.8125,1.32739,-0.290771,45.4382,0.473816,1.34595,42.19,2.8999,39.1,67.3082
41.6983,-1.08716,1.27563,45.6039,0.411316,-0.861084,85.8807,3.05127,73.0963,126.725
24.0172,-0.188568,0.282959,30.1103,-1.69629,1.67749,59.9578,2.02197,47.9703,54.8153
42.6363,-2.10645,0.818237,45.2408,-1.12402,-0.348206,40.2231,1.21533,55.0342,68.2094
24.7773,-1.11426,1.26587,38.0569,-1.14087,1.41553,59.2617,1.31177,55.9726,4.67193
43.2752,2.43311,-0.530151,46.7419,0.976807,0.259521,53.352,1.30396,0.150819,70.083
21.1837,-2.75977,-0.141876,40.6244,0.293823,-0.435913,76.0923,-0.130524,0.440277,59.2502
35.0191,2.19434,1.01782,58.7418,2.19678,1.01733,50.6979,-0.752319,66.3886,0.112923
